"ID","English","English Asia","French","German","Spanish","Portuguese","Russian","Japanese","Korean","Chinese (traditional)","Chinese (simplified)",@
"bus_intro","Now arriving at Reaping Commission Headquarters.
End of the line...","Now arriving at Reaping Commission Headquarters.
End of the line...","Siège de la Commission des Faucheurs.
Terminus...","Dieser Halt: Erntekommissions-Hauptquartier.
Endstation ...","Iritsi gara Heriotza Komisioaren egoitzara.
Azken geltokia...","Próxima parada: Sede do Comitê dos Ceifadores.
Ponto final...","Автобус прибывает в Главный офис Комиссии жнецов.
Конечная остановка...","えー、リーパー協会本部、リーパー協会本部。
終点です…","이제 영혼 수확 위원회 본부에 도착합니다.
이번 역은 종점입니다...","現在到達了收割委託總部。
行列末端...","收割委员会总部——到了。
本站为终点站……",@
"handler_intro","[speed10]Well well well...[/]
Look who showed up for work,[pause] no worms for you...
Because only the early bird catches-[longpause] never mind.
Anyway,[beat] it's your <i>lucky</i> day...[beat] I actually have a soul for you to reap.
And not just any soul,[beat] a <i>Giant Soul!</i> [beat]Think of the commission on that...
I hope you haven't forgotten your training. [beat]Stay on your talons, [beat]<i>Giant Souls</i> don't often go peacefully...
Dropping in your door for you now.","[speed10]Well well well...[/]
Look who showed up for work,[pause] no worms for you...
Because only the early bird catches-[longpause] never mind.
Anyway,[beat] it's your <i>lucky</i> day...[beat] I actually have a soul for you to reap.
And not just any soul,[beat] a <i>Giant Soul!</i> [beat]Think of the commission on that...
I hope you haven't forgotten your training. [beat]Stay on your talons, [beat]<i>Giant Souls</i> don't often go peacefully...
Dropping in your door for you now.","[speed10]Tiens, tiens...[/]
Regardez qui vient travailler.[pause] Qu'est-ce que tu fabriquais ?
Tu bayais aux corneilles ?[longpause] Enfin, je me comprends...
En tout cas,[beat] c'est ton jour de <i>chance</i>...[beat] J'ai une âme à te faire récolter.
Et pas n'importe laquelle,[beat] une <i>Âme Géante !</i> [beat]Pense à ta prime...
Tu n'as pas oublié ton entraînement, j'espère. [beat]N'y laisse pas trop de plumes, [beat]les <i>Âmes Géantes</i> sont du genre coriaces...
J'appelle tout de suite ta porte.","[speed10]Sieh mal einer an ...[/]
Auch schon zur Arbeit erschienen?[pause] Kein Wurm für dich.
Denn nur der frühe Vogel fängt -[longpause] ach, vergiss es.
Egal.[beat] Heute ist dein <i>Glückstag</i>...[beat] es gibt nämlich eine Seele für dich zu ernten.
Und zwar nicht nur irgendein Seelchen, sondern[beat] eine <i>Riesenseele!</i> [beat]Denk nur an die Kommission.
Ich hoffe, du hast deine Ausbildung nicht vergessen. [beat]Nimm dich in Acht, denn [beat]<i>Riesenseelen</i> leisten ganz gern mal Widerstand.
Ich mache jetzt deine Tür für dich fertig.","[speed10]Hara hara hara...[/]
Begira nor azaldu den lanera.[pause] Zizarerik ez zuretzat...
Izan ere, txori goiztiarrenak soilik-[longpause] berdin dio.
Dena dela,[beat] gaur zure <i>zorteko</i> eguna da... [beat]Gaurkoan badaukat zuk segatzeko arima bat.
Eta ez edozein arima, gainera,[beat] <i>arima erraldoi</i> bat! [beat]Pentsa zelako komisioa dakarren...
Espero dut oraindik gogoan izango duzula ikasitakoa. [beat]Ez deskuidatu une batez ere, [beat]<i>arima erraldoiak</i> ez dira era baketsuan joaten...
Oraintxe kokatuko dut zuretzako atea.","[speed10]Ora, ora, ora...[/]
Olha só quem apareceu para trabalhar.[pause] Nada de ajuda para você...
Porque, como dizem, quem cedo madruga...[longpause] enfim...
Bem,[beat] é seu dia de <i>sorte</i>...[beat] Eu tenho uma alma para você ceifar.
E não é qualquer alma.[beat] É uma <i>Alma Gigante!</i> [beat]Imagine a comissão de uma dessas...
Espero que não tenha esquecido do seu treinamento. [beat]Muita atenção, porque [beat]<i>Almas Gigantes</i> não costumam ir em paz...
Sua porta vai surgir agora.","[speed10]Так, так, так...[/]
Глядите-ка, кто это прибыл на работу:[pause] поздняя пташка...
Кто поздно встает, тому...[longpause] а, неважно.
Так и быть,[beat] сегодня твой <i>счастливый</i> день...[beat] У меня есть для тебя задание — забрать душу.
И речь идет не о какой-то там захудалой душонке,[beat] а о самой что ни на есть <i>душе великана!</i> [beat]Серьезная прибыль, знаешь ли...
Надеюсь, ты еще помнишь, чему тебя учили? [beat]Держи клюв начеку — [beat]<i>души великанов</i> так просто не сдаются...
А вот и твои врата.","[speed10]おやおや…[/]
ずいぶん遅かったデスね… [pause]仕事はもう残っていないデスよ。
よく言うでしょう、早起きは五文の… [longpause]いや、三文デスか？
まあいい、[beat]今日は君の<i>ラッキー</i>デーデス。[beat]特別なソウルを用意しておきました。
ただの魂じゃない、[beat] <i>ジャイアント・ソウル</i>デス！[beat]歩合もいいデスぞ…
訓練を思い出すんデスよ。[beat]気を抜かないで。[beat]<i>ジャイアント・ソウル</i>は簡単には手に入りません…
よし、扉を召喚しましょう。","[speed10]이런 이런 이런...[/]
드디어 얼굴을 비추시는 구만,[pause] 자네 몫 벌레는 없어...
벌레는 일찍 일어나는 새가-[longpause] 아니 됐다.
어쨌든,[beat] 오늘 <i>운</i> 좋으시네...[beat] 수확해줘야 할 영혼이 하나 있어.
그냥 평범한 영혼도 아니야.[beat]<i>대형 영혼</i>이라고! [beat]한 번 고민해봐...
훈련은 잊지 않았길 바라. [beat]발톱도 준비해둬. [beat]<i>대형 영혼</i> 수확하는 건 쉬운 일이 아니니까...
지금 문을 내려주지.","[speed10]唉唷...[/]
看是誰出現要工作了，[pause] 沒有蟲給你吃...
因為早起的鳥兒-[longpause] 算了。
不管如何，[beat] 這是你的 <i>幸運</i> 日...[beat] 我確實有條靈魂要讓你收。
還不是一般的靈魂唷，[beat] 是一條 <i>巨靈魂！</i> [beat]想一想那個佣金會有多少...
希望你還沒忘記你的訓練。 [beat]維持你爪子的銳利， [beat]<i>巨靈魂</i> 可不會乖乖跟你走...
現在進去你的門裡面逛逛吧。","[speed10]哎哟喂……[/]
看看是谁来上班了啊，[pause]你可没虫吃……
因为只有早起的鸟儿才——[longpause]算了算了。
总之，[beat]今天是你的<i>幸运日</i>哦……[beat]其实有个灵魂，我想让你去收割。而且还不是个普通的灵魂，[beat]那可是个<i>巨硕之魂</i>！[beat]光佣金就得多少钱……
希望你还没手生，还记得训练内容。[beat]把爪子磨快点儿吧，[beat]<i>巨硕之魂</i>可不是吃素的……
给你正在派送门。",@
"handler_intro2","With a soul that size you might even be able to afford some time off...
[sound]But [shake]remember[/]...","With a soul that size you might even be able to afford some time off...
[sound]But [shake]remember[/]...","Avec une âme de cette taille, tu pourras même te permettre de prendre des vacances...
[sound]Mais [shake]n'oublie pas[/]...","Bei so einer großen Seele kannst du dir anschließend vielleicht sogar ein bisschen frei nehmen...
[sound]Aber [shake]denk dran[/]...","Tamaina horretako arimarekin oporralditxo bat ordaindu ahalko duzu...
[sound]Baina [shake]gogoratu[/]...","Com uma alma desse tamanho, talvez você consiga até tirar uma folga...
[sound]Mas [shake]lembre-se[/]...","Может, за душу такого размера тебе даже удастся получить пару отгулов...
[sound]И [shake]помни[/]...","あれだけ大きいソウルを刈れれば、ちょっとは休暇も取れるでしょう…
[sound]デスが、[shake]これだけは覚えておくように[/]…","그 정도 크기의 영혼이라면 시간 좀 들여야 할 거야...
[sound]그래도 [shake]명심해[/]...","有那種大小的靈魂，你應該有機會賺到休假...
[sound]但是 [shake]記住[/]...","这么大个灵魂，你说不定都能休个假了……
[sound]但是[shake]记住[/]……",@
"handler_intro3","[speed30]Your door will remain open until you return with your <i>designated</i> soul[/].
While your door is open you will be mortal,[pause] and you will age,[longpause] so get it done quickly.","[speed30]Your door will remain open until you return with your <i>designated</i> soul[/].
While your door is open you will be mortal,[pause] and you will age,[longpause] so get it done quickly.","[speed30]La porte restera ouverte jusqu'à ton retour avec l'âme <i>spécifiée</i>[/].
Tant qu'elle sera ouverte, tu seras mortel[pause] et tu vieilliras,[longpause] alors ne traîne pas.","[speed30]Deine Tür bleibt offen, bis du mit der <i>dir zugewiesenen</i> Seele[/] zurückkommst.
Während deine Tür offen steht, bist du sterblich[pause] und wirst altern.[longpause] Also beeil dich.","[speed30]Ateak irekita jarraituko du <i>esleitu</i> zaizun arimarekin bueltatu artean[/].
Ateak irekita dirauen bitartean hilkorra zara,[pause] eta zahartu egingo zara.[longpause] Bizkor amaitu lana, beraz.","[speed30]A porta vai continuar aberta até você retornar com a sua alma <i>designada</i>[/].
Enquanto sua porta estiver aberta, você será mortal...[pause] e envelhecerá,[longpause] então seja breve.","[speed30]Твои врата будут открыты до тех пор, пока ты не вернешься с <i>порученной тебе</i> душой[/].
Но открытые врата лишают тебя бессмертия —[pause] ты будешь стареть,[longpause] так что поторопись.","[speed30]あの扉は君が<i>担当する</i>ソウルを持ち帰るまで、ひらきっぱなしデス[/]。
そして、扉がひらいているかぎり、君は不死身ではありませんし、[pause]歳を取ります。[longpause]だから早く終わらせるに越したことはないデス。","[speed30]네 방 문은 <i>지정된</i> 영혼을 가져오기 전까진 계속 열려있을 거야[/].
문이 열려있는 동안은 필멸자로서 살아갈 거고,[pause] 나이도 먹을 거야.[longpause] 그러니 서두르라고.","[speed30]你的們將維持開著直到你帶著 <i>指派的</i> 靈魂回來[/]。
當門打開的時候，你只是凡人，[pause] 而你的年齡也會增長，[longpause] 所以快一點搞定。","[speed30]在你带回<i>指定的</i>灵魂之前，你的门扉会一直敞开[/]。
当门打开时，你不过是肉体凡胎，[pause]也会不断衰老，[longpause]所以务必速战速决。",@
"handler_intro4","Reaping souls,[longpause] to power the doors,[longpause] just so we can reap more souls... [longpause]and the cycle repeats...[longpause] forever...
The rat race, eh?
Anyway,[beat] get to it,[pause] and be careful.
If you die it's gonna be a lot of paperwork,[beat] and I don't have the time.","Reaping souls,[longpause] to power the doors,[longpause] just so we can reap more souls... [longpause]and the cycle repeats...[longpause] forever...
The rat race, eh?
Anyway,[beat] get to it,[pause] and be careful.
If you die it's gonna be a lot of paperwork,[beat] and I don't have the time.","On récolte des âmes[longpause] pour ouvrir des portes[longpause] et récolter d'autres âmes... [longpause]Et le cycle se répète...[longpause] éternellement...
C'est sans fin.
Enfin bref, [beat]au travail,[pause] et fais attention à toi, hein.
Ta mort entraînerait un tas de paperasses[beat] et je n'ai pas le temps.","Wir ernten Seelen,[longpause] damit die Türen Energie haben,[longpause] so dass wir mehr Seelen ernten können ... [longpause]und so weiter ...[longpause] bis in alle Ewigkeit.
So dreht sich das Hamsterrad...
Wie dem auch sei...[beat] an die Arbeit.[pause] Und sieh dich vor.
Wenn du stirbst, gibt das eine Menge Papierkram,[beat] und für so was habe ich keine Zeit.","Arimak segatu,[longpause] ateak elikatzeko,[longpause] arima gehiago segatu ahal ditzagun... [longpause]eta zikloa errepikatzen da...[longpause] behin eta berriro...
Hau eromena, eh?
Dena dela,[beat] ekin lanari,[pause] eta kontuz ibili.
Hiltzen bazara, paper-lan mordoa egin beharko dut,[beat] eta ez dut astirik horretarako.","Ceifar almas[longpause] para controlar as portas[longpause] só para podermos ceifar mais almas... [longpause]e o ciclo se repete...[longpause] eternamente...
Como uma engrenagem em uma máquina, não é?
Enfim,[beat] vá indo nessa[pause] e tome cuidado.
Se você morrer, a papelada vai ser enorme,[beat] e eu não tenho tempo para isso.","Собирая души,[longpause] мы питаем врата энергией,[longpause] чтобы собрать еще больше душ... [longpause]Обреченные повторять эту работу...[longpause] Снова и снова...
Вертимся как белки в колесе, верно?
Итак,[beat] пора за работу,[pause] и будь осторожнее.
Если ты погибнешь, нам предстоит огромная бумажная волокита,[beat] а мне некогда этим заниматься.","ソウルを刈り、[longpause]扉を召喚する。[longpause] そしてまたソウルを刈る… [longpause]その繰り返しデス… [longpause]終わりはありません…
企業戦士の定めってやつデス。
それはともかく、[beat]さっそく取りかかってください。[pause]くれぐれも気をつけて。
君に死なれると私の書類仕事が増えるのデス。[beat]手間をかけさせないでくださいね。","영혼을 수확하면,[longpause] 문에 동력을 넣게 되고,[longpause] 그렇게 더 많은 영혼을 수확할 수 있게 되고... [longpause]그렇게 순환하는 거야...[longpause] 영원히 말이지...
다 먹고살자고 하는 일이야.
어쨌든,[beat] 들어가 봐.[pause] 그리고 조심하고.
네가 죽으면 처리해야 할 서류가 산더미처럼 쌓일 테니까 말이야.[beat] 시간도 없는데 말이야.","收取靈魂，[longpause] 可以為門提供能源，[longpause] 這樣我們就能收更多靈魂... [longpause]而循環流轉能夠...[longpause] 永遠持續...
永無休止的競爭，是嗎？
不管怎樣，[beat] 開始去做吧，[pause] 而且要小心一點。
如果你死掉了文書工作會多很多，[beat] 我可沒時間處理。","收割灵魂，[longpause]驱动门扉，[longpause]这样我们就好收割更多灵魂……[longpause]如此周而复始……[longpause]万世不绝……
就像笼子里的仓鼠，不是吗？
总之，[beat]出发吧，[pause]一定小心。
你要是死了，那档案工作可是排山倒海，[beat]我可没那闲工夫。",@
"handler_intro_re","Your door is on the main platform, [beat]off you go...","Your door is on the main platform, [beat]off you go...","Ta porte est sur la grande plate-forme, [beat]Allez ouste, envole-toi.","Deine Tür befindet sich auf der Hauptplattform. [beat]Nun geh schon!","Zure atea plataforma nagusian dago, [beat]ospa hemendik...","Sua porta está na plataforma principal. [beat]Até mais ver...","Твои врата находятся на главной платформе, [beat]вперед...","扉は高台の上デス。[beat]さあ早く…","문은 메인 플랫폼에 있어. [beat]잘 가라고...","你的門在主平台上， [beat]好了，你可以走了...","你的门扉在主平台上，[beat]去吧……",@
"gd_intro1","Ahh,[beat] a Reaper!
[anim]My time in this world is over...","Ahh,[beat] a Reaper!
[anim]My time in this world is over...","Ahh,[beat] un Faucheur !
[anim]Mon temps dans ce monde est révolu...","Sieh an,[beat] ein Schnitter!
[anim]Meine Zeit in dieser Welt ist abgelaufen ...","Ahh,[beat] segari bat!
[anim]Amaitu da mundu honetan neukan denbora...","Ahh,[beat] um ceifador!
[anim]Meu tempo neste mundo acabou...","Неужели это[beat] жнец?
[anim]Мои дни сочтены...","おお、[beat]リーパー！
[anim]この世における私の時間が尽きたか…","아아,[beat] 사신이로구만!
[anim]이제 죽을 수 있겠어...","啊，[beat] 一個收魂者！
[anim]我在這世界上的時間已經結束了...","啊啊啊，[beat]是收割者！
[anim]我这辈子完了……",@
"gd_intro2","Hmm... [pause]Unfortunately I am still alive.
Sorry...[pause] Maybe if you try hitting me with a harder attack?","Hmm... [pause]Unfortunately I am still alive.
Sorry...[pause] Maybe if you try hitting me with a harder attack?","Hmm... [pause]C'est fâcheux, je suis toujours vivant.
Désolé...[pause] Il faudrait peut-être une attaque plus puissante ?","Hmm... [pause]leider lebe ich aber immer noch.
Schade.[pause] Vielleicht solltest du mal einen heftigeren Angriff probieren?","Hmm... [pause]Zoritxarrez, oraindik bizirik nago.
Barkatu...[pause] Agian eraso gogorragoren batekin jotzen banauzu?","Hmm... [pause]Infelizmente, eu ainda vivo.
Perdão...[pause] Quem sabe se você tentar me acertar com um ataque mais forte?","Хм-м-м... [pause]Какая досада, смерть не забрала меня.
Мне так жаль...[pause] Может, попробуешь бить со всей силы?","ふうむ… [pause]残念ながらまだ生きているようだ。
すまんが… [pause]もう少し強く斬ってもらえないか？","흠... [pause]아쉽게도 아직 이승에 있군.
미안하네만...[pause] 더 강한 공격을 해줄 수는 없나?","嗯嗯... [pause]很不幸地，我還活著。
不好意思...[pause] 或許你該用強烈一點的攻擊來打我？","嗯……[pause]不幸的是，我还活着。
抱歉啊……[pause]要不你再狠点儿打我试试？",@
"gd_intro3","Hmm...[beat] No. Still here and still very much alive.
Perhaps try a bit of a run up?","Hmm...[beat] No. Still here and still very much alive.
Perhaps try a bit of a run up?","Hmm...[beat] Non. Je suis toujours là et bien vivant.
Et si tu prenais ton élan, pour voir ?","Hmm...[beat] das war nichts. Ich bin immer noch da, und quicklebendig.
Versuch‘s doch mal mit Anlauf.","Hmm...[beat] Ez. Oraindik hemen, eta oraindik bizi-bizirik.
Beharbada abiada hartuta jotzen saia zaitezke?","Hmm...[beat] Não. Ainda estou aqui e continuo vivendo.
E se você tentar pegar um impulso?","Хм-м-м...[beat] Никак. Все еще здесь, и все еще жив.
Как насчет атаки с разбега?","ぐわあ！[beat]いや… まだこのとおりピンピンしている。
少し助走をつけてみてはどうだ？","흠...[beat] 아냐. 아직도 살아있잖아.
힘좀 더 내볼 수 없나?","嗯嗯...[beat] 不。還在這裡而且活得好好的。
或許力道加倍試試看？","嗯……[beat]不行，我还活力充沛呢。
要不你助跑加个速？",@
"gd_intro4","[anim]I'm sorry,[beat] it's not your fault... [beat]It happens to everyone.
I'm afraid I am burdened with unending life.
[anim]I can't explain it...[pause] And I've spent untold years seeking an answer.
My name is Steadhone,[beat] I am the Keeper of Graves on this Sacred Mountain.
Oh,[beat] and if you do find yourself strengthened somehow, feel free to try and kill me again.","[anim]I'm sorry,[beat] it's not your fault... [beat]It happens to everyone.
I'm afraid I am burdened with unending life.
[anim]I can't explain it...[pause] And I've spent untold years seeking an answer.
My name is Steadhone,[beat] I am the Keeper of Graves on this Sacred Mountain.
Oh,[beat] and if you do find yourself strengthened somehow, feel free to try and kill me again.","[anim]Désolé,[beat] ce n'est pas ta faute... [beat]Ça arrive à tout le monde.
Je crois que je suis condamné à la vie éternelle.
[anim]C'est inexplicable...[pause] Et j'ai passé des années à chercher la réponse.
Je suis José Pultur,[beat] le Gardien des Tombes de la Montagne Sacrée.
Oh,[beat] et si jamais tu deviens plus fort, n'hésite pas à revenir, pour essayer de me tuer.","[anim]Tut mir leid.[beat] Du kannst nichts dafür. [beat]Das geht allen so.
Ich fürchte, mein Leben geht nie zu Ende.
[anim]Ich kann es nicht erklären.[pause] Dabei suche ich schon seit unzähligen Jahren nach einer Antwort.
Mein Name ist Stetwig.[beat] Ich bin der Hüter der Gräber auf diesem Heiligen Berg.
Oh,[beat] und wenn du das Gefühl hast, es macht dich stärker, dann versuch ruhig noch einmal, mich umzubringen.","[anim]Sentitzen dut,[beat] ez da zure errua... [beat]Denei gauza bera gertatzen zaie.
Tamalez, uste dut bizitza amaigabe batera kondenaturik nagoela.
[anim]Ezin dut azaldu...[pause] Eta konta ezin beste urte pasa ditut erantzun baten bila.
Nire izena Hilarri da,[beat] mendi sakratu honetako hilobien zaindaria naiz.
Oh,[beat] eta inoiz indartsuago bihurtzen bazara, lasai etor zaitezke berriro ni hiltzen saiatzera.","[anim]Desculpe,[beat] não é culpa sua... [beat]Acontece com qualquer um.
Acho que carrego o fardo da vida infinita.
[anim]Não consigo explicar...[pause] E já passei incontáveis anos buscando uma resposta.
Meu nome é Epitáfio.[beat] Eu guardo os túmulos desta Montanha Sagrada.
Ah,[beat] se você achar que ganhou mais força, venha tentar me matar de novo.","[anim]С кем не бывает...[beat] Мне жаль, [beat]но дело не в тебе.
Дело в том, что я наделен вечной жизнью.
[anim]Не знаю, как такое могло случиться...[pause] Я провел сотни лет в поисках ответа.
Меня зовут Гробоплит,[beat] я хранитель могил на Священной горе.
Кстати,[beat] если однажды почувствуешь прилив сил, приходи и попробуй убить меня снова.","[animすまんな、[beat]君のせいじゃない…[beat]誰がやっても同じことなんだ。
どうやら私は死ねない体らしい。
[anim]理由はわからんが…[pause]その答えを求めて、数えきれないほどの年月を生きてきた。
私の名はステッドホーン。[beat]この聖山の墓守だ。
そうだ、[beat]これから先、君がもっと強くなることがあったら、遠慮はいらん。また私を殺しに来てくれ。","[anim]미안하네,[beat] 자네 잘못은 아니야... [beat]모두한테 일어나는 일이지.
영생의 짐을 짊어져버린 것 같아.
[anim]뭔가 설명하기가 어렵네...[pause] 영생의 이유를 찾느라 수없이 많은 세월을 보냈지.
내 이름은 스테드혼일세.[beat] 이 성산에 있는 묘의 수호자지.
아,[beat] 그리고 혹시라도 강해진다면, 언제든 다시 와서 날 죽이러 오게.","[anim]我很抱歉，[beat] 那不是你的錯... [beat]每個人都一樣。
永恆生命恐怕是我的負擔。
[anim]我無法解釋...[pause] 我花了無數年的時間尋求答案。
我的名字叫做史提德宏，[beat] 我是這座聖山上的守墓人。
哦，[beat] 如果你發現自己變強了，儘管再嘗試殺我一次。","[anim]真对不起，[beat]不是你的错……[beat]这事谁都可能碰上。
看来永生这副重担，我是要永远挑下去了。
[anim]真说不通……[pause]我光是为了搞明白这是怎么回事，就花了不知道多少年了。
我叫斯定恒，[beat]是这座神圣山上的守墓人。
对了，[beat]要是你发现自己多少变强了点，就再来试着杀死我吧。",@
