Context Note (not to translate),Speaker,English,Translation,File name,Line number
,none,language_id,eu,?,?
,CamTarget1,Revered.,Beneratuak.,Dream/asioLesson,35
,CamTarget1,Exalted.,Goretsiak.,Dream/asioLesson,40
,CamTarget1,Wise.,Jakintsuak.,Dream/asioLesson,45
,CamTarget1,This is what we owls aspire to be.,Halakoak izan nahi diagu hontzok.,Dream/asioLesson,53
,CamTarget1,"Over the centuries, <30>we have<nl>worked hard to build up the<nl>respect that people have for us.","Mendeetan zehar, <30>gogor<nl>lan egin diagu ingurukoek<nl>diguten errespetua irabazteko.",Dream/asioLesson,59
,YoungMentor,"And as times get harder, you too,<30><nl>as my student, <30>shall carry the weight<nl>of owlhood upon your shoulders.","Eta garai zailak iritsi ahala, hik ere, <30><nl>nire ikasle haizenez, <30>hire honztasunaren<nl>pisua bizkar gainean eraman beharko duk.",Dream/asioLesson,95
,YoungMentor,"I can see that you are<nl>already a fine young owl,<30> <b>Otus<b>.","Ikusten diat dagoeneko<nl>hontz gazte eder bat haizela,<30> <b>Otus<b>.",Dream/asioLesson,118
,YoungMentor,"In time, I will mold you<nl>into the spitting image of myself!","Denborarekin, ni modukoxea<nl>izatera iritsiko haiz!",Dream/asioLesson,123
,YoungMentor,No need to look so nervous!,Ez hadi horrela urduritu!,Dream/asioLesson,148
,YoungMentor,This is a great moment for you!,Hau une izugarria duk hiretzat!,Dream/asioLesson,152
,YoungMentor,"Despite being born as a mute,<20><nl>under my tutelage you will become<nl>one of the pillars of our community!","Mutu jaio bahintzen ere,<20><nl>nire babespean gure komunitateko<nl>zutabe bilakatuko haiz!",Dream/asioLesson,160
,YoungMentor,"Well, I see there's plenty<nl>we will have to work on.","Tira, ikusten diat<nl>lan asko dugula aurretik.",Dream/asioLesson,175
,YoungMentor,"Do not worry, <30>I will straighten you out!","Ez kezkatu, <30>nik arteztuko haut!",Dream/asioLesson,179
,Mentor,"I'll be honest with you, Otus.","Egia esango diat, Otus.",Dream/asioLessonFlight,21
,Mentor,You haven't been doing<nl>too well in your studies at all.,Ez haiz sobera<nl>ikasle ona.,Dream/asioLessonFlight,26
,Mentor,So I've been thinking that perhaps<30><nl>your talents simply lie elsewhere.,"Hortaz, bururatu zaidak, agian,<30><nl>hire talentua beste nonbait egongo dela.",Dream/asioLessonFlight,39
,Mentor,So today we'll be doing some flying.,"Beraz, gaur hegan egingo diagu tarte batez.",Dream/asioLessonFlight,39
,Mentor,I bet you've been looking<nl>forward to this for a while!,Ziur une honen zain<nl>egon haizela luzaroan!,Dream/asioLessonFlight,39
,Mentor,Good!<20> Then listen closely.,"Ondo!<20> Adi entzun, beraz.",Dream/asioLessonFlight,52
