Context Note (not to translate),Speaker,English,Japanese,Korean,Simplified Chinese,Russian,Italian,French,German,Portuguese,Spanish,Traditional Chinese,Polish,Norwegian,Basque,File name,Line number
,none,language_id,jp,ko,zh-Hans,ru,it,fr,de,pt,es-ES,zh-Hant,pl,no,eu,?,?
,CamTarget1,Revered.,尊く。,존경받을 것.,崇敬。,Почтенные.,Venerazione.,Beneratuak.,Verehrt.,Reverenciadas.,Veneración.,崇敬。,Podziwiane.,Respektert.,Beneratuak.,Dream/asioLesson,35
,CamTarget1,Exalted.,気高く。,명예로울 것.,高尚。,Возвышенные.,Eccellenza.,Goretsiak.,Erhaben.,Exaltadas.,Excelencia.,高尚。,Wysoko postawione.,Idolisert.,Goretsiak.,Dream/asioLesson,40
,CamTarget1,Wise.,聡明たれ。,지혜로울 것.,明智。,Мудрые.,Saggezza.,Jakintsuak.,Weise.,Sábias.,Sabiduría.,明智。,Mądre.,Vis.,Jakintsuak.,Dream/asioLesson,45
,CamTarget1,This is what we owls aspire to be.,われらフクロウのあるべき姿だ。,이것이 바로 우리 아울들이 갖추어야 할 소양이란다.,是我们猫头鹰族立志达成的目标。,"Вот какими стремимся быть все мы, совы.",Questo è ciò a cui noi gufi aspiriamo.,Halakoak izan nahi diagu hontzok.,So versuchen wir Eulen zu sein.,"Isso é o que nós, corujas, desejamos ser.",Esto es a lo que aspiramos los búhos.,是我們貓頭鷹族立志達成的目標。,"My, sowy, mamy właśnie takie aspiracje.",Vi ugler har mye å leve opp til.,Halakoak izan nahi diagu hontzok.,Dream/asioLesson,53
,CamTarget1,"Over the centuries, <30>we have<nl>worked hard to build up the<nl>respect that people have for us.",われらは数世紀にわたり、<30>人々の敬意を<nl>授かるべく努力を重ねてきた。,"수 세기 간,<30> 우리 아울들은<nl>오늘날의 존경을 얻고자<nl>무수히 노력해왔단다.",几千年来，<30>我们<nl>殚精竭虑，<nl>在人民中建立了威信。,"Много веков <30>мы трудились,<nl>чтобы люди привыкли уважать<nl>нас.","Nei secoli, <30>abbiamo lavorato duro per consolidare<nl>il rispetto che la gente ha per noi.","Mendeetan zehar, <30>gogor<nl>lan egin diagu ingurukoek<nl>diguten errespetua irabazteko.","Im Laufe der Jahrhunderte <30>haben wir<nl>hart daran gearbeitet,<nl>den Respekt der Menschen zu verdienen.","Com o passar do tempo, <30>nós<nl>trabalhamos bastante para construir o<nl>respeito que as pessoas têm por nós.","A lo largo de los siglos, <30>hemos<nl>trabajado duro para<nl>ganarnos el respeto que la gente nos tiene.",幾千年來，<30>我們<nl>殫精竭慮，<nl>在人民中建立了威信。,"Przez wieki <30>ciężko<nl>pracowałyśmy na szacunek,<nl>jakim darzą nas ludzie.",Vi har jobbet i århundrer for ryktet vårt.,"Mendeetan zehar, <30>gogor<nl>lan egin diagu ingurukoek<nl>diguten errespetua irabazteko.",Dream/asioLesson,59
,YoungMentor,"And as times get harder, you too,<30><nl>as my student, <30>shall carry the weight<nl>of owlhood upon your shoulders.",きびしい時代となったが、<30>おまえも私の弟子として<nl><30>フクロウ族の重荷を背負っていかねばならん。,"그리고 때가 오면, 너 역시<30><nl>나의 제자로서 <30>아울 일족의 짐을<nl>두 어깨에 짊어지게 될 거다.",如今时局愈发艰难，你<30><nl>作为我的学生，<30>也该扛起<nl>猫头鹰族的重担了。,"А сейчас наступили непростые времена, и теперь тебе,<30><nl>моему ученику, <30>придется нести на своих плечах<nl>бремя чести совечества.","E quando i tempi si faranno più duri, anche tu,<30><nl>in qualità di mio studente, <30>dovrai portare il peso<nl>della tua natura di gufo sulle spalle.","Eta garai zailak iritsi ahala, hik ere, <30><nl>nire ikasle haizenez, <30>hire honztasunaren<nl>pisua bizkar gainean eraman beharko duk.","Die Zeiten werden immer härter, weshalb auch du<30><nl>als mein Lehrling <30>die Last der Eulen<nl>auf deinen Schultern tragen musst.","Com as coisas ficando mais difíceis, você também,<30><nl>como meu estudante, <30>carregará o fardo<nl>do estilo de vida das corujas nas suas costas.","Y cuando vengan tiempos peores, tú también, <30><nl>como alumno mío, <30>deberás llevar el peso<nl>de tu naturaleza de búho a tus espaldas.",如今時局愈發艱難，你<30><nl>作為我的學生，<30>也該扛起<nl>貓頭鷹族的重擔了。,"Czasy są trudniejsze, więc i ty,<30><nl>jako mój uczeń, <30>weźmiesz na swe barki<nl>trud bycia sową.",Snart skal du bære en t<5>u<5>n<5>g<15> vekt<15> på dine skuldre!,"Eta garai zailak iritsi ahala, hik ere, <30><nl>nire ikasle haizenez, <30>hire honztasunaren<nl>pisua bizkar gainean eraman beharko duk.",Dream/asioLesson,95
,YoungMentor,"I can see that you are<nl>already a fine young owl,<30> <b>Otus<b>.",立派な若きフクロウとなったな、<nl><30><b>オータス<b>。,"벌써 이렇게 어엿한<nl>청년 아울이 되었구나,<30> <b>오투스<b>.",我能看出你现在<nl>已经是一只很不错的年轻猫头鹰了，<30><b>Otus<b>。,"Я вижу, ты вырос<nl>в превосходного совенка,<30> <b>Отус<b>.","Prometti già di diventare un ottimo gufo,<30> <b>Otus<b>.","Ikusten diat dagoeneko<nl>hontz gazte eder bat haizela,<30> <b>Otus<b>.","Ich sehe, dass du bereits<nl>eine stattliche junge Eule bist, <b>Otus<b>.","Consigo ver que você já é<nl>uma excelente coruja,<30> <b>Otus<b>.","Puedo ver que ya eres un<nl>gran búho,<30> <b>Otus<b>.",我能看出你現在<nl>已經是一隻很不錯的年輕貓頭鷹了，<30><b>Otus<b>。,"Widzę, że jesteś już<nl>niczego sobie młodą sówką,<30> <b>Otusie<b>.","Du er allerede en flott<15> ung<15> ugle,<30> <b>Otus<b>.","Ikusten diat dagoeneko<nl>hontz gazte eder bat haizela,<30> <b>Otus<b>.",Dream/asioLesson,118
,YoungMentor,"In time, I will mold you<nl>into the spitting image of myself!",やがては私の跡目もつごう！,너도 나처럼 훌륭히<nl>성장할 수 있도록 이끌어주마!,假以时日，我便会把你打造成<nl>我的化身！,Со временем я сделаю из тебя<nl>полную копию меня!,"Col tempo, farò di te<nl>la copia esatta di me stesso!","Denborarekin, ni modukoxea<nl>izatera iritsiko haiz!",Im Laufe der Zeit werde ich aus dir<nl>eine Eule wie mich formen!,"Com tempo, te moldarei e<nl>você será exatamente como eu!","¡Con el tiempo, te moldearé<nl>para convertirte en mi vivo retrato!",假以時日，我便會把你打造成<nl>我的化身！,"Z czasem tak cię ukształtuję,<nl>że staniesz się moją wierną kopią!",Men jeg skal vise deg hvordan man blir en ekte ugle!,"Denborarekin, ni modukoxea<nl>izatera iritsiko haiz!",Dream/asioLesson,123
,YoungMentor,No need to look so nervous!,恐れることはない！,그렇게 긴장하지 말거라!,不必这么紧张！,Не надо так волноваться!,Non c'è bisogno di essere così nervoso!,Ez hadi horrela urduritu!,Kein Grund zur Nervosität!,Não precisa ficar tão nervoso!,¡No estés tan nervioso!,不必這麼緊張！,Nie denerwuj się tak!,Vær ikke nervøs!,Ez hadi horrela urduritu!,Dream/asioLesson,148
