"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"AccessPermitInner","ARSTOTZKA","ARSTOTZKA"
"AccessPermitInner","Access Permit","Sarrera baimena"
"AccessPermitInner","This permit grants conditional access to the sovereign nation of Arstotzka","Baimen honek baldintzapeko sarrera aitortzen dizu Arstotzka nazio burujabera"
"AccessPermitInner","NAME","IZENA"
"AccessPermitInner","NATIONALITY","NAZIONALITATEA"
"AccessPermitInner","PURPOSE","HELBURUA"
"AccessPermitInner","HEIGHT","GARAIERA"
"AccessPermitInner","PHYSICAL APPEARANCE","ITXURA FISIKOA"
"AccessPermitInner","ID NUMBER","ID ZENBAKIA"
"AccessPermitInner","DURATION","IRAUPENA"
"AccessPermitInner","WEIGHT","PISUA"
"AccessPermitInner","ENTER BY","SARTZE-DATA"
"AccessPermitInner","Keep on person","Eraman aldean"
"AccessPermitInner","Ministry of Admission","Onarpen Ministerioa"
"AsylumGrantInner","Arstotzka","Arstotzka"
"AsylumGrantInner","GRANT of ASYLUM","ASILO AITORPENA"
"AsylumGrantInner","This document grants conditional asylum status within Arstotzkan borders","Dokumentu honek baldintzapeko asilo egoera aitortzen dizu Arstotzkan"
"AsylumGrantInner","NAT","NAZ"
"AsylumGrantInner","ID#","ID#"
"AsylumGrantInner","DOB","JAI"
"AsylumGrantInner","HT","GAR"
"AsylumGrantInner","WT","PIS"
"AsylumGrantInner","Offer expires after","Iraungitze-data"
"AsylumGrantInner","Ministry of Admission","Onarpen Ministerioa"
"BizCardInnerFront","ENGINEERING","INGENIARITZA"
"BizCardInnerFront","Director","Zuzendaria"
"BizCardInnerBack","WE NEED ENGINEERS","INGENIARI BILA"
"BizCardInnerBack","WILL BEAT .GOV PAY","GOB. SOLDATA GAINDITUZ"
"BizCardInnerBack","CONTACT NOW","DEITU"
"BrothelHelpInner","A man named <span>Dari Ludum</span> promised me and my sister good work in Arstotzka.","<span>Dari Ludum</span> izeneko gizon batek Arstotzkan lana hitzeman digu nire ahizpa eta bioi."
"BrothelHelpInner","I do not trust him. I am afraid he will take my passport and force me to work at brothel. He is in line today.","Ez naiz berataz fido. Beldur naiz pasaportea kendu eta putetxe batean lan egitera behartuko gaituela. Gaur ilaran dago."
"BrothelHelpInner","Please do something.","Egin zerbait, mesedez."
"BulletinInnerDiploTut","Diplomat","Diplomazialaria"
"BulletinInnerDiploTut","Verification Procedure","Egiaztatze-prozedura"
"BulletinInnerDiploTut","Verify issuing country","Egiaztatu herrialde agirigilea"
"BulletinInnerDiploTut","Verify identity","Egiaztatu nortasuna"
"BulletinInnerDiploTut","Verify diplomatic access to Arstotzka","Egiaztatu Arstotzkara sarrera diplomatikoa"
"BulletinInnerMissingTut","Missing documents can be correlated by highlighting counter and pertinent entry in rule book.","Falta diren dokumentuak korrelatzeko nabarmendu mahaigaina eta dagokion sarrera arau-liburuan."
"BulletinInnerRuleTut","Correlate pertinent entry in rule book with violating information to enable further options.","Korrelatu arau-hausteari dagokion sarrera arauen liburuan, burutu ditzakezun ekintzak azaltzeko."
"BulletinInnerContraTut","Correlate discovered weapons and contraband with rulebook entry.","Korrelatu deskubritutako armak eta kontrabandoa arau-liburuko sarrerarekin."
"BulletinInnerCorrelateTut","Highlight two pieces of discrepant information from INSPECT mode to enable interrogation.","Galdeketa gaitzeko, nabarmendu bat ez datozen bi datu IKUSKATZE moduan."
"BulletinInnerTouchTut","Touch and drag to fine-tune highlighted selection.","Ukitu eta arrastatu nabarmendutako hautapena egokitzeko."
"BulletinInnerPassportTut","Pay attention to passport nationality.","Jarri arreta pasaporteko nazionalitatean."
"BulletinInnerBoothTut","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Onarpen Ministerioa"
"BulletinInnerBoothTut","Inspector's Booth","Ikuskatzailearen kabina"
"BulletinInnerBoothTut","Shutter","Leihatila"
"BulletinInnerBoothTut","Counter","Mahaigaina"
"BulletinInnerBoothTut","Rule Book<br>Audio Transcript<br>Bulletin Storage<br>Time &amp; Date","Arauen liburua<br>Transkripzioa<br>Buletinen biltegia<br>Ordua eta data"
"BulletinInnerBoothTut2","Arstotzkan<br>Ministry of Admission","Arstotzka<br>Onarpen Ministerioa"
"BulletinInnerBoothTut2","Inspector's Booth","Ikuskatzailearen kabina"
"BulletinInnerBoothTut2","Shutter","Leihatila"
"BulletinInnerBoothTut2","Counter","Mahaigaina"
"BulletinInnerBoothTut2","Audio Transcript<br>Rule Book<br>Weight<br>","Audio transkripzioa<br>Arauen liburua<br>Pisua<br>"
"BulletinInnerBoothTut2","Bulletin Storage<br>Time &amp; Date","Buletinen biltegia<br>Ordua eta data"
"BulletinInnerGunTut","Weapons Protocol","Armen protokoloa"
"BulletinInnerGunTut","WHEN ALARM SOUNDS","ALARMAK JOTZEAN"
"BulletinInnerGunTut","Drop key on tumbler to unlock weapon.","Eraman giltza zarrailara arma desblokeatzeko."
"BulletinInnerGunTut","Select gun, aim and fire.","Aukeratu erriflea, apuntatu eta egin su."
"BulletinInnerGunTut","Time is short. Act fast.","Denbora gutxi dago. Arin ibili."
"BulletinInnerFilerTut","Passport Confiscation","Pasaportea konfiskatzea"
"BulletinInnerFilerTut","Verify ALTAN resident on id.","Egiaztatu ALTANeko bizilaguna dela NAn."
"BulletinInnerFilerTut","Drop passport in confiscation drawer.","Eraman pasaportea konfiskatze-tiraderara"
"BulletinInnerFilerTut","If arresting, confiscate before detaining.","Atxilotzean, konfiskatu atxilotu baino lehen."
"BulletinInnerCriminals","Ministry of Justice","Justizia Ministerioa"
"BulletinInnerCriminals","WANTED CRIMINALS","GAIZKILE BILATUENAK"
"BulletinInnerNews","NEWS","BERRIAK"
"BulletinPagesNote","CHECK ALL<br>PAGES","IRAKURRI<br>ORRI GUZTIAK"
"CitationInner","M.O.A. CITATION","O.M. ZITAZIOA"
"DiplomaticAuthInner","Diplomatic<br>Authorization","Diplomazia<br>baimena"
"DiplomaticAuthInner","This document authorizes named agent as a diplomatic entity of a Council of Nations member state.","Dokumentu honek agentea entitate diplomatiko gisa baimentzen du Nazioen Kontseiluko estatu kideetan."
"DiplomaticAuthInner","AGENT","IZENA"
"DiplomaticAuthInner","PASSPORT","PASAPORTEA"
"DiplomaticAuthInner","Unconditional access to all named Council of Nations member states must be granted upon presentation.","Izendatutako Nazioen Kontseiluko estatu kide guztietara baldintza gabeko sarrera eman behar zaio."
"DiplomaticAuthInner","This document has no expiry.","Dokumentu hau ez da iraungitzen."
"DiplomaticAuthInner","COUNCIL OF NATIONS - SEVEN MEMBER FORUM","NAZIOEN KONTSEILUA - ZAZPI KIDEEN FOROA"
"EntryPermitInner","ARSTOTZKA","ARSTOTZKA"
"EntryPermitInner","Entry Permit","Onarpen baimena"
"EntryPermitInner","Conditional entry to the sovereign nation of Arstotzka is hereby granted to","Honen bitartez, Arstotzka nazio burujabera baldintzapeko sarrera aitortzen zaio honi"
"EntryPermitInner","bearing passport number","pasaporte zenbaki honekin"
"EntryPermitInner","Purpose","Helburua"
"EntryPermitInner","Duration","Iraupena"
"EntryPermitInner","Enter by","Azken eguna"
"EntryPermitInner","Ministry of Admission","Onarpen Ministerioa"
"EntryTicketInner","Arstotzka","Arstotzka"
"EntryTicketInner","ENTRY TICKET","ONAR. TIKETA"
"EntryTicketInner","VALID ON","DATA:"
"EzicNoteInnerOpen","READ QUICKLY","BIZKOR IRAKURRI"
"EzicNoteInnerOpen","RETURN TO MESSENGER","ITZULI MEZULARIARI"
"FamilyPhotoInner","HANG ON WALL","ESEKI HORMAN"
"FingerprintsInner","GIVE THIS PAPER TO APPLICANT","EMAN PAPER HAU ESKATZAILEARI"
"ForgeryFlyerInnerFront","NEED FORGED<br>OBRISTAN DOCS?","OBRISTANGO PAPER FALTSUTUAK NAHI?"
"ForgeryFlyerInnerFront","""It looks so real!""","""Benetakoa dirudi!"""
"ForgeryFlyerInnerFront","""Approved for entry!""","""Sarrera onartuta!"""
"ForgeryFlyerInnerFront","Fair rates!","Bidezko prezioak!"
"ForgeryFlyerInnerFront","No questions asked!","Galderarik egin gabe!"
"ForgeryFlyerInnerFront","Fast turnaround!","Transferentzia bizkorra!"
"ForgeryFlyerInnerFront","CONDITIONS ON BACK","BALDINTZAK ATZEAN"
"ForgeryFlyerInnerBack","PRICING (EACH)","PREZIOA (BAKOITZEKO)"
"ForgeryFlyerInnerBack","Passport *","Pasaportea *"
"ForgeryFlyerInnerBack","Entry Ticket","Onarpen tiketa"
"ForgeryFlyerInnerBack","*<br>","*<br>"
"ForgeryFlyerInnerBack","Client must provide existing Obristan passport to be modified with new info","Bezeroak bere Obristango benetako pasaportea ekarri behar du datuak aldatzeko"
"ForgeryFlyerInnerBack","Service at border Arstotzka/Obristan","Zerbitzua Arstotzka/Obristan mugan"
"ForgeryFlyerInnerBack","Ask for Timofei Wee","Galdetu Timofei Wee-gatik"
"GymFlyerInner","Underweight?Weak?Tired?","Argal? Ahul? Nekaturik?"
"GymFlyerInner","JOIN BEST GYM!","ZATOZ GYM-
ERA!"
"GymFlyerInner","GET BIG TOWN","HANDIEN HIRIA"
"GymFlyerInner","East Grestin","Hego Grestin"
"HintMissingInner","THIS ENTRANT HAS NO DOCUMENTS","ESKATZAILE HONEK EZ DU DOKUMENTURIK"
"HintMissingInner","To proceed, use INSPECT mode to interrogate.","Jarraitzeko, erabili IKUSKATZE modua galdeketa hasteko."
"HintMissingInner","Review page 2 of today's bulletin for full instructions.","Berrikusi gaurko buletineko 2. orria jarraibide osoak ezagutzeko."
"IdCardInner","ARSTOTZKA IDENTITY CARD","ARSTOTZKA NORTASUN AGIRIA"
"IdCardInner","DOB","JAI"
"IdCardInner","HT.","GAR"
"IdCardInner","WT.","PIS"
"IdentityRecordInner","M.O.A. IDENTITY RECORD","O.M. NORTASUN-ERREGISTROA"
"IdentityRecordInner","NAME:","IZENA:"
"IdentityRecordInner","ALIAS:","ALIASA:"
"IdentityRecordInner","Applicant's fingerprints and claimed name/alias must match this record.","Eskatzailearen hatz-markek eta izen/aliasak bat etorri behar dute."
