"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"display_language","Menu item","Euskara","Deutsch","français","italiano","español","Русский","日本語（にほんご）","Português","中文"
"game_title","Game Title","Amaraunean","Ab ins Netz","Filozoophie","Irretita","Enmarañada","Пау!","Webbed","Aranhinha","勇网直前"
,,,,,,,,,,
" "," "," "," "," "," "," "," "," ",,
"Press <precise_aim> to toggle precise aim mode.","Tutorial Text","Sakatu <precise_aim> punteria zehatz modua gaitzeko/desgaitzeko.","Schalte den Präzisionsmodus mit <precise_aim> ein/aus.","Appuie sur <precise_aim> pour activer la visée précise.","Premi <precise_aim> per mirare con precisione.","Pulsa <precise_aim> para activar el modo de puntería precisa.","Нажмите <precise_aim>, чтобы включить или выключить режим точного прицела.","<precise_aim> をおして せいみつエイムモードを きりかえます。","Aperte <precise_aim> para alternar o modo de mira precisa.","按 <precise_aim> 键切换为精确瞄准模式。"
"<precise_aim> Toggle Precise Aim","Tutorial Text","<precise_aim> Punteria zehatza aktib. / desaktib.","<precise_aim> Präzisionsmodus ein/aus","<precise_aim> Activer/désactiver la visée précise","<precise_aim> Attiva/Disattiva mira precisa","<precise_aim> Activar puntería precisa","<precise_aim> Вкл./выкл. режим точного прицела","<precise_aim> せいみつエイムきりかえ","<precise_aim> Alternar mira precisa","<precise_aim> 切换精确瞄准"
"<interact> Grip Board","Tutorial Text","<interact> Heldu taulari","<interact> Board greifen","<interact> S'agripper au skate","<interact> Afferra tavola","<interact> Agarrar tabla","<interact> Взять доску","<interact> スケボーをつかむ","<interact> Agarrar esqueite","<interact> 抓住滑板"
"<interact> Release Board","Tutorial Text","<interact> Askatu taula","<interact> Board loslassen","<interact> Lâcher le skate","<interact> Lascia tavola","<interact> Soltar tabla","<interact> Положить доску","<interact> スケボーをはなす","<interact> Soltar esqueite","<interact> 放开滑板"
"<aim> Move map cursor","Tutorial Text","<aim> Mugitu mapako kurtsorea","<aim> Zeiger auf Karte bewegen","<aim> Déplacer le curseur de la carte","<aim> Sposta cursore mappa","<aim> Mover cursor del mapa","<aim> Передвинуть курсор на карте","<aim> マップカーソルいどう","<aim> Mover cursor do mapa","<aim> 移动地图光标"
"<aim> Select     <uia> Toggle Sticker","Tutorial Text","<aim> Hautatu     <uia> Gaitu eranskailua","<aim> Auswählen     <uia> Sticker umschalten","<aim> Sélectionner     <uia> Modifier l'autocollant","<aim> Seleziona     <uia> Attiva/Disattiva adesivo","<aim> Seleccionar     <uia> Activar pegatina","<aim> Выбрать     <uia> Вкл./выкл. стикер","<aim> えらぶ     <uia> シールきりかえ","<aim> Selecionar     <uia> Alternar adesivo","<aim> 选择     <uia> 切换贴纸"
