"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"display_language","Menu item","English","Deutsch","français","italiano","Euskara","Русский","日本語（にほんご）","Português","中文"
"game_title","Game Title","Webbed","Ab ins Netz","Filozoophie","Irretita","Amaraunean","Пау!","Webbed","Aranhinha","勇网直前"
,,,,,,,,,,
" "," "," "," "," "," "," "," "," ",,
"Press <precise_aim> to toggle precise aim mode.","Tutorial Text","Press <precise_aim> to toggle precise aim mode.","Schalte den Präzisionsmodus mit <precise_aim> ein/aus.","Appuie sur <precise_aim> pour activer la visée précise.","Premi <precise_aim> per mirare con precisione.","Sakatu <precise_aim> punteria zehatz modua gaitzeko/desgaitzeko.","Нажмите <precise_aim>, чтобы включить или выключить режим точного прицела.","<precise_aim> をおして せいみつエイムモードを きりかえます。","Aperte <precise_aim> para alternar o modo de mira precisa.","按 <precise_aim> 键切换为精确瞄准模式。"
"<precise_aim> Toggle Precise Aim","Tutorial Text","<precise_aim> Toggle Precise Aim","<precise_aim> Präzisionsmodus ein/aus","<precise_aim> Activer/désactiver la visée précise","<precise_aim> Attiva/Disattiva mira precisa","<precise_aim> Punteria zehatza aktib. / desaktib.","<precise_aim> Вкл./выкл. режим точного прицела","<precise_aim> せいみつエイムきりかえ","<precise_aim> Alternar mira precisa","<precise_aim> 切换精确瞄准"
"<interact> Grip Board","Tutorial Text","<interact> Grip Board","<interact> Board greifen","<interact> S'agripper au skate","<interact> Afferra tavola","<interact> Heldu taulari","<interact> Взять доску","<interact> スケボーをつかむ","<interact> Agarrar esqueite","<interact> 抓住滑板"
"<interact> Release Board","Tutorial Text","<interact> Release Board","<interact> Board loslassen","<interact> Lâcher le skate","<interact> Lascia tavola","<interact> Askatu taula","<interact> Положить доску","<interact> スケボーをはなす","<interact> Soltar esqueite","<interact> 放开滑板"
"<aim> Move map cursor","Tutorial Text","<aim> Move map cursor","<aim> Zeiger auf Karte bewegen","<aim> Déplacer le curseur de la carte","<aim> Sposta cursore mappa","<aim> Mugitu mapako kurtsorea","<aim> Передвинуть курсор на карте","<aim> マップカーソルいどう","<aim> Mover cursor do mapa","<aim> 移动地图光标"
"<aim> Select     <uia> Toggle Sticker","Tutorial Text","<aim> Select     <uia> Toggle Sticker","<aim> Auswählen     <uia> Sticker umschalten","<aim> Sélectionner     <uia> Modifier l'autocollant","<aim> Seleziona     <uia> Attiva/Disattiva adesivo","<aim> Hautatu     <uia> Gaitu eranskailua","<aim> Выбрать     <uia> Вкл./выкл. стикер","<aim> えらぶ     <uia> シールきりかえ","<aim> Selecionar     <uia> Alternar adesivo","<aim> 选择     <uia> 切换贴纸"
"<uia> Toggle Sticker","Tutorial Text","<uia> Toggle Sticker","<uia> Sticker umschalten","<uia> Modifier l'autocollant","<uia> Attiva/Disattiva adesivo","<uia> Gaitu eranskailua","<uia> Вкл./выкл. стикер","<uia> シールきりかえ","<uia> Alternar adesivo","<uia> 切换贴纸"
"<uia> Select","Tutorial Text","<uia> Select","<uia> Auswählen","<uia> Sélectionner","<uia> Seleziona","<uia> Hautatu","<uia> Выбрать","<uia> えらぶ","<uia> Selecionar","<uia> 选择"
"<uib> Back","Tutorial Text","<uib> Back","<uib> Zurück","<uib> Retour","<uib> Indietro","<uib> Atzera","<uib> Назад","<uib> もどる","<uib> Voltar","<uib> 返回"
"<pause> Pause","Tutorial Text","<pause> Pause","<pause> Pause","<pause> Pause","<pause> Pausa","<pause> Pausatu","<pause> Пауза","<pause> 止める","<pause> Pausar","<pause> 暂停"
"<jump> Fast Forward","Tutorial Text","<jump> Fast Forward","<jump> Vorspulen","<jump> Avancer rapidement","<jump> Avanti veloce","<jump> Kamera bizkorra","<jump> Вперед","<jump> 早おくり","<jump> Acelerar","<jump> 快速前进"
"Sorry, this area is still under construction.","Tutorial Text","Sorry, this area is still under construction.","Entschuldigung, dieser Bereich ist noch nicht fertig.","Malheureusement, cette zone est encore en construction.","Purtroppo quest'area è ancora in costruzione.","Sentitzen dugu, gune hau oraindik eraikitze-lanetan dago","Извините, в этой зоне еще ведутся работы.","ごめんなさい。このエリアは まだ せいさく中です。","Esta área ainda está em construção.","抱歉，这片区域还在建设中。"
"Please come back later.","Tutorial Text","Please come back later.","Schau später wieder vorbei.","Reviens plus tard.","Torna più tardi.","Itzul zaitez geroago.","Зайдите попозже.","またこんど 来てみてね。","Volte outra hora.","请稍后再来吧。"
"<move> to move.","Tutorial Text","<move> to move.","<move> zum Bewegen.","Utilise <move> pour te déplacer.","<move> per muoverti.","<move> mugitzeko.","Нажмите <move>, чтобы двигаться.","<move> で いどうします。","Use <move> para se mover.","<move> 移动。"
"Hold <dance> to dance.","Tutorial Text","Hold <dance> to dance.","<dance> halten, um zu tanzen.","Maintiens <dance> pour danser.","Tieni premuto <dance> per ballare.","Mantendu <dance> dantzan egiteko.","Удерживайте <dance>, чтобы танцевать.","<dance> を長おしするとダンスできます。","Segure <dance> para dançar.","按住 <dance> 跳舞。"
