"game_lang_code","context","EN","DE","FR","IT","ES","RU","JP","PB","CN"
"display_language","Menu item","English","Deutsch","Euskara","italiano","español","Русский","日本語（にほんご）","Português","中文"
"game_title","Game Title","Webbed","Ab ins Netz","Amaraunean","Irretita","Enmarañada","Пау!","Webbed","Aranhinha","勇网直前"
,,,,,,,,,,
" "," "," "," "," "," "," "," "," ",,
"Press <precise_aim> to toggle precise aim mode.","Tutorial Text","Press <precise_aim> to toggle precise aim mode.","Schalte den Präzisionsmodus mit <precise_aim> ein/aus.","Sakatu <precise_aim> punteria zehatz modua gaitzeko/desgaitzeko.","Premi <precise_aim> per mirare con precisione.","Pulsa <precise_aim> para activar el modo de puntería precisa.","Нажмите <precise_aim>, чтобы включить или выключить режим точного прицела.","<precise_aim> をおして せいみつエイムモードを きりかえます。","Aperte <precise_aim> para alternar o modo de mira precisa.","按 <precise_aim> 键切换为精确瞄准模式。"
"<precise_aim> Toggle Precise Aim","Tutorial Text","<precise_aim> Toggle Precise Aim","<precise_aim> Präzisionsmodus ein/aus","<precise_aim> Punteria zehatza aktib. / desaktib.","<precise_aim> Attiva/Disattiva mira precisa","<precise_aim> Activar puntería precisa","<precise_aim> Вкл./выкл. режим точного прицела","<precise_aim> せいみつエイムきりかえ","<precise_aim> Alternar mira precisa","<precise_aim> 切换精确瞄准"
"<interact> Grip Board","Tutorial Text","<interact> Grip Board","<interact> Board greifen","<interact> Heldu taulari","<interact> Afferra tavola","<interact> Agarrar tabla","<interact> Взять доску","<interact> スケボーをつかむ","<interact> Agarrar esqueite","<interact> 抓住滑板"
"<interact> Release Board","Tutorial Text","<interact> Release Board","<interact> Board loslassen","<interact> Askatu taula","<interact> Lascia tavola","<interact> Soltar tabla","<interact> Положить доску","<interact> スケボーをはなす","<interact> Soltar esqueite","<interact> 放开滑板"
"<aim> Move map cursor","Tutorial Text","<aim> Move map cursor","<aim> Zeiger auf Karte bewegen","<aim> Mugitu mapako kurtsorea","<aim> Sposta cursore mappa","<aim> Mover cursor del mapa","<aim> Передвинуть курсор на карте","<aim> マップカーソルいどう","<aim> Mover cursor do mapa","<aim> 移动地图光标"
"<aim> Select     <uia> Toggle Sticker","Tutorial Text","<aim> Select     <uia> Toggle Sticker","<aim> Auswählen     <uia> Sticker umschalten","<aim> Hautatu     <uia> Gaitu eranskailua","<aim> Seleziona     <uia> Attiva/Disattiva adesivo","<aim> Seleccionar     <uia> Activar pegatina","<aim> Выбрать     <uia> Вкл./выкл. стикер","<aim> えらぶ     <uia> シールきりかえ","<aim> Selecionar     <uia> Alternar adesivo","<aim> 选择     <uia> 切换贴纸"
"<uia> Toggle Sticker","Tutorial Text","<uia> Toggle Sticker","<uia> Sticker umschalten","<uia> Gaitu eranskailua","<uia> Attiva/Disattiva adesivo","<uia> Activar pegatina","<uia> Вкл./выкл. стикер","<uia> シールきりかえ","<uia> Alternar adesivo","<uia> 切换贴纸"
"<uia> Select","Tutorial Text","<uia> Select","<uia> Auswählen","<uia> Hautatu","<uia> Seleziona","<uia> Seleccionar","<uia> Выбрать","<uia> えらぶ","<uia> Selecionar","<uia> 选择"
"<uib> Back","Tutorial Text","<uib> Back","<uib> Zurück","<uib> Atzera","<uib> Indietro","<uib> Volver","<uib> Назад","<uib> もどる","<uib> Voltar","<uib> 返回"
"<pause> Pause","Tutorial Text","<pause> Pause","<pause> Pause","<pause> Pausatu","<pause> Pausa","<pause> Pausar","<pause> Пауза","<pause> 止める","<pause> Pausar","<pause> 暂停"
"<jump> Fast Forward","Tutorial Text","<jump> Fast Forward","<jump> Vorspulen","<jump> Kamera bizkorra","<jump> Avanti veloce","<jump> Acelerar","<jump> Вперед","<jump> 早おくり","<jump> Acelerar","<jump> 快速前进"
"Sorry, this area is still under construction.","Tutorial Text","Sorry, this area is still under construction.","Entschuldigung, dieser Bereich ist noch nicht fertig.","Sentitzen dugu, gune hau oraindik eraikitze-lanetan dago","Purtroppo quest'area è ancora in costruzione.","Lo sentimos, esta zona está en construcción.","Извините, в этой зоне еще ведутся работы.","ごめんなさい。このエリアは まだ せいさく中です。","Esta área ainda está em construção.","抱歉，这片区域还在建设中。"
"Please come back later.","Tutorial Text","Please come back later.","Schau später wieder vorbei.","Itzul zaitez geroago.","Torna più tardi.","Vuelve más adelante.","Зайдите попозже.","またこんど 来てみてね。","Volte outra hora.","请稍后再来吧。"
"<move> to move.","Tutorial Text","<move> to move.","<move> zum Bewegen.","<move> mugitzeko.","<move> per muoverti.","<move> para moverte.","Нажмите <move>, чтобы двигаться.","<move> で いどうします。","Use <move> para se mover.","<move> 移动。"
