"game_lang_code","context","EU"
"display_language","Menu item","Euskara"
"game_title","Game Title","Amaraunean"
,,
" "," "," "
"Press <precise_aim> to toggle precise aim mode.","Tutorial Text","Sakatu <precise_aim> punteria zehatz modua gaitzeko/desgaitzeko."
"<precise_aim> Toggle Precise Aim","Tutorial Text","<precise_aim> Punteria zehatza aktib. / desaktib."
"<interact> Grip Board","Tutorial Text","<interact> Heldu taulari"
"<interact> Release Board","Tutorial Text","<interact> Askatu taula"
"<aim> Move map cursor","Tutorial Text","<aim> Mugitu mapako kurtsorea"
"<aim> Select     <uia> Toggle Sticker","Tutorial Text","<aim> Hautatu     <uia> Gaitu eranskailua"
"<uia> Toggle Sticker","Tutorial Text","<uia> Gaitu eranskailua"
"<uia> Select","Tutorial Text","<uia> Hautatu"
"<uib> Back","Tutorial Text","<uib> Atzera"
"<pause> Pause","Tutorial Text","<pause> Pausatu"
"<jump> Fast Forward","Tutorial Text","<jump> Kamera bizkorra"
"Sorry, this area is still under construction.","Tutorial Text","Sentitzen dugu, gune hau oraindik eraikitze-lanetan dago"
"Please come back later.","Tutorial Text","Itzul zaitez geroago."
"<move> to move.","Tutorial Text","<move> mugitzeko."
"Hold <dance> to dance.","Tutorial Text","Mantendu <dance> dantzan egiteko."
"Hold <jump> to jump.","Tutorial Text","Mantendu <jump> jauzi egiteko."
"<aim> to aim your web, then hold <grapple> to grapple to a point.","Tutorial Text","<aim> amaraunarekin apuntatzeko, gero mantendu <grapple> puntu batera lotzeko."
"Aim at a point and hold <weave> to to start spinning a web.","Tutorial Text","Apuntatu puntu batera eta mantendu <weave> amarauna iruten hasteko."
"Now aim at a second point and release <weave> to build a bridge.","Tutorial Text","Orain apuntatu bigarren puntu batera eta askatu <weave> zubi bat eraikitzeko."
"<laser> to shoot lasers.","Tutorial Text","<laser> laser izpiak jaurtitzeko."
"Hey little spider! I got a QUEST for ya!","Generic Bee","Ei, armiarmatxo! EGITEKO bat daukat zuretzat!"
"The QUEEN is making a new PRINCESS to make a brand new hive!","Generic Bee","ERREGINA buru-belarri dabil PRINTZESA berri bat sortu nahian, erlauntza guztiz berri bat eraikitzeko!"
"To make a princess she needs royal jelly, and to make the jelly she needs POLLEN!","Generic Bee","Printzesa berri bat sortzeko erregina-jelea behar du, eta jelea sortzeko lore-hautsa, POLENA!"
"Only the best pollen - PINK ORCHID POLLEN! 20 Grains should do it.","Generic Bee","Goi-mailako polena soilik - ORKIDEA ARROSAREN POLENA! Nahikoa du 20 alerekin."
"If you bring that up to Canopy's Peak, I bet she'd love ya! Come on!","Generic Bee","Ale horiek Zuhaitzetako Gainera eramaten badituzu asko poztuko da! Ekin ba lanari!"
"Bring 20 pollen to the QUEEN","Journal quest text","Eraman 20 polen ale ERREGINAri"
"Oh, G'day there!","Generic Bee","Oi, egun on!"
"Are you on the quest for pollen too?","Generic Bee","Zu ere polena biltzeko lanetan zabiltza?"
"I hope we get enough. I can't wait to meet the new PRINCESS!","Generic Bee","Ea behar beste biltzen dugun. PRINTZESA berria ezagutzeko irrikitan nago!"
"Sure is tiring flying all over this forest though.","Generic Bee","Baina ez da lan erraza baso osoa hegan zeharkatzea."
"You go on ahead without me. I'll catch up!","Generic Bee","Zoaz, ez nire zain gelditu. Laster jarraituko dut nik ere!"
"Hullo hullo! You're a weird lookin' bee aintcha?","Generic Bee","Iepe iepe! Bai erle bitxia zarena!"
"Must have pretty good wings to have flown up to this branch though.","Generic Bee","Baina hegal onak izango dituzu, bestela ez zinateke adar honetaraino igotzeko gai izango."
"Let's fly over this gap together! I wanna see your technique!","Generic Bee","Egin dezagun hegan hutsarte hau gainditzeko! Hegan egiteko zure teknika ikusi nahi dut!"
"Well that sure is a weird way to fly!","Generic Bee","Alajaina, hori bai dela hegan egiteko era berezia!"
"Can't argue with results though...","Generic Bee","Baina argi dago helburua lortzeko balio dizula..."
"You keep on doing your weird flying, and good luck with the POLLEN QUEST!","Generic Bee","Segi aurrera hegakera bitxi horrekin, eta zorte on POLENAREN BILAKETArekin!"
"Hmmm...","Generic Bee","Mmmm..."
"You seen all these fruit flies buzzing about?","Generic Bee","Ikusi dituzu ozpin-euli guzti horiek batetik bestera burrunbaka?"
"Prrreetty annoying...","Generic Bee","Amooorrrragarriak dira..."
"I bet someone like you could catch 'em in your webs and eat 'em...","Generic Bee","Ziur zu moduko batek ez duela arazorik haiek amaraunean harrapatu eta jateko..."
"Just sayin'...","Generic Bee","Ideia bat baino ez da..."
"Wouldn't complain...","Generic Bee","Ez nintzateke kexatuko hala egingo bazenu..."
"Good job dealing with those pests, little spider.","Generic Bee","Lan bikaina egin duzu izurrite horren kontra, armiarmatxo."
"Much more peaceful around here now.","Generic Bee","Orain inguru hau askoz lasaiago dago."
"Oh hey again!","Generic Bee","Aupa, kaixo berriro!"
"Glad to see you took me up on the POLLEN QUEST!","Generic Bee","Pozten nau POLENAREN BILAKETAn parte hartzea onartu duzula ikusteak!"
"Canopy's peak is just a bit further this way.","Generic Bee","Zuhaitzetako Gaina gertu dago bide honetatik jarraituz."
"I hope you get the 20 we need! The QUEEN is waiting!","Generic Bee","Espero dut beharrezko 20 aleak lortuko dituzula! ERREGINA zain duzu!"
"Look it's the little spider!","Generic Bee","Begira, armiarma txikia da!"
"I heard you've been helping out with the POLLEN QUEST!","Generic Bee","Entzun dut POLENAREN BILAKETAn laguntzen aritu zarela!"
"If you've got your 20 grains, go on in.","Generic Bee","Dagoeneko bildu badituzu 20 aleak, sartu barrura."
"The QUEEN awaits!","Generic Bee","ERREGINA zain duzu!"
"Welcome to my hive, little spider.","The QUEEN Bee","Ongi etorri nire erlauntzara, armiarmatxo."
"I've heard so much about you!","The QUEEN Bee","Asko hitz egin didate zuri buruz!"
"Have you brought the pollen for the Princess' royal jelly?","The QUEEN Bee","Ekarri al duzu printzesaren erregina-jelearentzako beharrezko polena?"
"Ah... not quite, dear spider.","The QUEEN Bee","Ai... ez dago behar beste, armiarmatxo."
"Don't worry, I'm sure there are more orchids out there.","The QUEEN Bee","Ez kezkatu, ziur naiz orkidea gehiago daudela kanpoaldean."
"Come back when you've found 20, okay deary?","The QUEEN Bee","Buelta zaitez 20 ale batzean, ados, laztana?"
"Oh my! Look at all the pollen you've collected!","The QUEEN Bee","Ai ama! Baina zenbat polen bildu duzu!"
"Such a bounty must be properly rewarded.","The QUEEN Bee","Halako uztak bere neurriko ordainsaria behar du."
"Perhaps you should be considered a princess in your own right.","The QUEEN Bee","Agian printzesa izendatu beharko zinduket, ondo merezia duzu."
"Take this, princess spider.","The QUEEN Bee","Tori, armiarma printzesa."
"You've more than earned it.","The QUEEN Bee","Ondo irabazia duzu."
"Now wait here a moment, while we prepare the royal jelly for my daughter.","The QUEEN Bee","Itxaron hemen une batez alabarentzat erregina-jelea prestatzen dudan bitartean."
"Oh yes! This shall make a powerful jelly.","The QUEEN Bee","Oi bai! Honekin jele ahaltsua egin ahalko dut."
"The new Princess will be magnificent!","The QUEEN Bee","Printzesa berria sekulakoa izango da!"
"Wait here a moment while we prepare her.","The QUEEN Bee","Itxaron hemen une batez bera prest izan arte."
"I am sure she would love to meet you.","The QUEEN Bee","Ziur naiz ezagutu nahiko zaituela."
"Hello again, dear spider.","The QUEEN Bee","Kaixo berriz, armiarma maitea."
"Hello again, princess spider.","The QUEEN Bee","Kaixo berriz, armiarma printzesa."
"I did not expect to see you back here.","The QUEEN Bee","Ez nuen espero hona itzuliko zinenik."
"I hope my daughter has been treating you well.","The QUEEN Bee","Espero dut nire alabak ondo tratatuko zaituela. "
"Now then...","The QUEEN Bee","Esan, beraz..."
"Did you need a lift back to your tree?","The QUEEN Bee","Zure zuhaitzera hegan eraman zaitzadan nahi duzu?"
"Well please feel free to stay as long as you like","The QUEEN Bee","Nahi beste denbora egon zaitezke gure artea."
"Wait one moment deary.","The QUEEN Bee","Itxaron une batez, laztana."
"The princess is on her way to pick you up","The QUEEN Bee","Printzesa bidean da. Zure bila dator."
"BEEHOLD!","PRINCESS Bee","ADI GUZZZZTIOK!"
"Your PRINCESS has arrived!","PRINCESS Bee","Hemen da zuon PRINTZESA berria!"
"She's so beautiful!","Generic Bee","Hain da ederra!"
"Such powerful wings!","Generic Bee","Zeinen hegal indartsuak!"
"Thank you all for your hard labour, preparing my royal jelly.","PRINCESS Bee","Milesker guztioi niretzako erregina-jelea prestatzeko egindako lan gogorragatik."
"Dear spider, my mother told me of your predicament as I lay in my cell.","PRINCESS Bee","Armiarma maitea, amak esan dit erlazuloan nengoen bitartean zeinen fin aritu zaren lanean."
"You're planning a rescue mission to a magic island in the sky?","PRINCESS Bee","Erreskate-misio bat prestatzen zabiltza, zeruko uharte magiko batean?"
"I can think of no greater adventure with which to stretch my new wings!","PRINCESS Bee","Abentura ezin hobea dirudi nire hegal berriak luzatzeko, alajaina!"
"Come with me. I will take you home and help prepare for our voyage.","PRINCESS Bee","Zatoz nirekin. Etxera eramango zaitut, eta gure bidaiarako prestatzen lagunduko."
"So this is the balloon that's supposed to take us to the magic island in the sky?","PRINCESS Bee","Beraz, hau da zeruko uharte magiko hartaraino igoko gaituen globoa?"
"It'll never make it in this condition!","PRINCESS Bee","Duen egoera tamalgarriarekin, ez dut uste iritsiko denik!"
"Let me fix that up for you!","PRINCESS Bee","Utzidazu, nik konponduko dizut!"
"Ta Da!","PRINCESS Bee","Ta Da!"
"We shouldn't have any problems now. These wax patches are completely airtight!","PRINCESS Bee","Orain ez genuke inolako arazorik izan beharko. Argizarizko adabakiak guztiz hermetikoak dira!"
"I'm ready when you are little spider!","PRINCESS Bee","Gertu nago, zuk nahi duzunean, armiarmatxo!"
"Can't wait for our big adventure!","PRINCESS Bee","Gure abentura handirako irrikitan nago!"
"Yes! Now this is what I call an adventure!","PRINCESS Bee","Bai! Hau bai dela benetako abentura!"
"Hold on tight, little spider!","PRINCESS Bee","Heldu gogor, armiarmatxo!"
"But don't worry, I'll catch you if you fall!","PRINCESS Bee","Baina ez kezkatu, erortzen bazara nik harrapatuko zaitut!"
"The wind is really picking up now!","PRINCESS Bee","Haizea gogorki dabil ufaka orain!"
"I feel so alive!","PRINCESS Bee","Bizi-bizirik sentitzen naiz!"
"This is it! The Sky Bower!","PRINCESS Bee","Iritsi gara! Hau da Zeruko Pergola!"
"The airship won't be able to make it any further with this storm raging.","PRINCESS Bee","Aireontziak ezingo du aurrera egin ekaitz bortitz honekin."
"You'll have to continue without us.","PRINCESS Bee","Gu gabe jarraitu beharko duzu."
"Go! Find your love!","PRINCESS Bee","Zoaz! Zoaz zure maitearen bila!"
"We'll meet you on the other side!","PRINCESS Bee","Beste aldean elkartuko gara!"
"Find your boyfriend in the Sky Bower","Journal quest text","Bilatu zure mutil-laguna Zeruko Pergolan"
"Escape the Sky Bower with your boyfriend","Journal quest text","Egin ihes Zeruko Pergolatik mutil-lagunarekin batera"
"Little spider! You made it!","PRINCESS Bee","Armiarmatxo! Lortu duzu!"
"And you've rescued your boyfriend!","PRINCESS Bee","Eta mutil-laguna erreskatatu duzu!"
"We're almost ready to go home.","PRINCESS Bee","Etxera bueltatzeko prest gaude ia!"
"Vlad is just bringing the airship around now.","PRINCESS Bee","Vlad aireontzia honantz gidatzen ari da."
"Wait...","PRINCESS Bee","Itxaron..."
"He's coming! Watch out!","PRINCESS Bee","Txoria dator! Kontuz!"
"Oh, he is NOT getting away with that again!","PRINCESS Bee","Oi, ez, EZ da berriro berearekin aterako!"
"Hold on little spider!","PRINCESS Bee","Eutsi, armiarmatxo!"
"We're going to catch this bird!","PRINCESS Bee","Txori zantar hori harrapatuko dugu!"
"Defeat the Bowerbird","Journal quest text","Garaitu Pergolako Txoria"
"Canopy's Peak 5,000cm","Sign text in canopy","Zuhaitzetako Gaina 5000cm"
"Canopy's Peak 4,700cm","Sign text in canopy","Zuhaitzetako Gaina 4700cm"
"Canopy's Peak 4,200cm","Sign text in canopy","Zuhaitzetako Gaina 4200cm"
"Canopy's Peak 3,600cm","Sign text in canopy","Zuhaitzetako Gaina 3600cm"
"Canopy's Peak 3,500cm","Sign text in canopy","Zuhaitzetako Gaina 3500cm"
"Canopy's Peak 2,350cm","Sign text in canopy","Zuhaitzetako Gaina 2350cm"
"Canopy's Peak 2,200cm","Sign text in canopy","Zuhaitzetako Gaina 2200cm"
"Canopy's Peak 1,950cm","Sign text in canopy","Zuhaitzetako Gaina 1950cm"
"Canopy's Peak 1,800cm","Sign text in canopy","Zuhaitzetako Gaina 1800cm"
"Canopy's Peak 1,200cm","Sign text in canopy","Zuhaitzetako Gaina 1200cm"
"Canopy's Peak 500cm","Sign text in canopy","Zuhaitzetako Gaina 500cm"
"Forge","Sign text in ant nest","Forja"
"Pipeworks","Sign text in ant nest","Hoditeria"
"Propellant Pump","Sign text in ant nest","Propultsatzaile-ponpa"
"Water Pump","Sign text in ant nest","Ur-ponpa"
"Pump Power Station","Sign text in ant nest","Ponpen argindar-estazioa"
"Living Quarters","Sign text in ant nest","Bizitegia"
"Engineering","Sign text in ant nest","Ingeniaritza"
"Warning: Landslides","Sign text outside one way slide to ant nest","Kontuz: Lur-jausiak!"
"Behold, predator! I am The Fly Lord!","Fly Lord","Kontuz, harraparia! Eulien Jauna nauzu!"
"Your fangs are too small to devour me!","Fly Lord","Zure letaginak txikiegiak dira ni irensteko!"
"If my kin don't sit well in your stomach, come speak with me again.","Fly Lord","Etor zaitez nigana bueltan nire ahaideek urdaileko mina ematen dizutenean."
"We'll see what we can do about that...","Fly Lord","Konponbidea emango dizut..."
"How many little flies you got in that tum, predator?","Fly Lord","Zenbat eulitxo sartu dituzu zure sabel horretan, harraparia?"
"None? Well colour me surprised!","Fly Lord","Bat ere ez? Hau bai ez nuela espero!"
"If you end up with any prisoners in there, come on back okay?","Fly Lord","Norbait sabelean harrapatzen baduzu, itzuli nigana, ados?"
"Well... not for long!","Fly Lord","Tira... nahikoa da!"
"Haha! Fly free friends!","Fly Lord","Jaja! Egin hegan aske, lagunok!"
" Fly free!","Fly Lord","Egin hegan!"
"If my kin don't sit well in your stomach, come pay me a visit.","Fly Lord","Nire ahaideek urdaileko mina ematean, zatoz nigana bueltan."
"What? You haven't eaten even a single fly?","Fly Lord","Zer? Ez duzu euli bakar bat ere jan?"
"Well, perhaps I judged you too harshly.","Fly Lord","Hara, agian zorrotzegi epaitu zaitut."
"Be on your way, spider. And stay away from temptation.","Fly Lord","Segi zure bideari, armiarma."
"Greetings, spider.","Fly Lord","Agur t'erdi, armiarma."
"I appreciate your visit, and your continued virtue.","Fly Lord","Eskertzen dut zure bisita, eta zure bertute apurtezina."
"Oh... How tragically predictable.","Fly Lord","O... Tristea bezain aurresangarria."
"You just couldn't help yourself, could you?","Fly Lord","Ezin izan diozu tentaldiari eutsi, e?"
"I'll free you of your burden of course.","Fly Lord","Zama arintzen lagunduko dizut, jakina."
"But know this, spider: I am disappointed in you.","Fly Lord","Baina jakizu, armiarma: desengainua hartu dut zurekin."
"Well if it isn't the mighty predator.","Fly Lord","Nor dugu hemen, ez al da ba harrapari ahaltsua!"
"Feeling a little full?","Fly Lord","Zer? Betekada?"
"Let's see if we can't free some of those you've imprisoned.","Fly Lord","Ikustagun, ea barru horretatik norbait aska dezakegun."
"Haha! Fly my friends!","Fly Lord","Jaja! Egin hegan, lagunok!"
"Fly free!","Fly Lord","Zoazte aske!"
"Begone, predator!","Fly Lord","Orain ospa, harraparia!"
"There's nothing for you to eat here.","Fly Lord","Hemen ez da jatekorik zuretzat."
"You...","Fly Lord","Zu..."
"You monster!","Fly Lord","Munstro halakoa!"
"You ate every last one of them!","Fly Lord","Azken eulia ere irentsi duzu!"
"I curse you, predator!","Fly Lord","Madarikatua zu, harraparia!"
"You shall know the pain of the fly!","Fly Lord","Eulion oinazea ezagutuko duzu!"
"Greetings Comrade spider!","Mark the ant","Egun on, armiarma burkidea!"
"I hear you've got some problems that could use an ant solution.","Mark the ant","Entzun dut zure arazoak konpontzeko inurrion soluzio bat behar duzula."
"We'd love to help out, but we're still recovering from the latest fire ant raid.","Mark the ant","Gustura lagunduko genizuke, baina oraindik suzko inurrien azken oldarraldiko kalteak konpontzen gabiltza."
"The workers could really use some extra help down there, if you've got time.","Mark the ant","Langileek atseginez hartuko lukete laguntza pixkat behe horretan, astirik baduzu behintzat."
"Speak with Comrade Carl in the Mech-Ant chamber.","Mark the ant","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan dago."
"She'll be able to give you some work.","Mark the ant","Berak emango dizu egitekoren bat."
"Talk to Comrade Carl in the Mech-Ant chamber","Journal quest text","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan."
"We appreciate you coming by. Volunteers are always welcome!","Mark the ant","Asko eskertzen dizugu etorri izana. Boluntarioak beti dira ongi etorriak!"
"Well well, if it isn't the brand new Engineer!","Mark the ant","Hara, hara, hara, hemen dugu gure ingeniari berria!"
"We appreciate the assist.","Mark the ant","Milesker laguntzagatik."
"The team has already arrived to work on that problem of yours.","Mark the ant","Dagoeneko abiatu da talde bat zure arazo horretan lan egitera."
"Go see Lead Engineer Vlad, up by the baloon.","Mark the ant","Zoaz Vlad ingeniari-burua ikustera, globoan dago."
"Oh! Greetings Comrade!","Mark the ant","O! Kaixo, burkide!"
"I'm not sure how you snuck by me before...","Mark the ant","Ez dakit nola ez zaitudan lehenago ikusi..."
"But we appreciate the assist!","Mark the ant","Baina asko eskertzen dizugu laguntzera etortzea!"
"We've sent a team up ahead to work on that problem of yours.","Mark the ant","Talde bat bidali dugu gora, zure arazoarekin laguntzera."
"But don't be gone too long!","Mark the ant","Baina itzul zaitez luze gabe!"
"The colony still needs help finishing the Mech-Ant!","Mark the ant","Koloniak oraindik laguntza behar du Inurri Mekanikoa eraikitzeko!"
"Hey Comrade!","Mark the ant","Ei, burkide!"
"Don't be gone too long!","Mark the ant","Zatoz laster bueltan!"
"Oh dear!","Generic ant","Amatxo maitea!"
"That was quite the fall we had!","Generic ant","Zer erorikoa hartu duguna!"
"Things are a bit crazy around the nest right now.","Generic ant","Nahaste handia dago une honetan habia inguruan."
"We'd love you're help, if you're willing!","Generic ant","Izugarri eskertuko dugu zure laguntza, hartarako prest bazaude!"
"Go see Comrade Carl in the Mech-Ant chamber.","Generic ant","Zoaz Carl burkidearekin hitz egitera, Inurri Mekanikoaren ganberara."
"She'll know what to do.","Generic ant","Berak esango dizu zer egin."
"Talk to Comrade Carl in the Mech-Ant chamber.","Generic ant","Hitz egin Carl burkidearekin, Inurri Mekanikoaren ganberan."
"Ouch!","Generic ant","Atx!"
"This mudslide is getting dangerous!","Generic ant","Lur-jausi hau gero eta arriskutsuagoa da!"
"I was trying to repair this power station to open up access to the pumps.","Generic ant","Argindar-estazioa konpondu nahian nenbilen, ponpetara sarbidea irekitzeko."
"But I slipped and fell!","Generic ant","Baina irristatu eta beheraino erori naiz!"
"Could you lend me a mandible?","Generic ant","Baraila bat ematerik bai?"
"Think you could give me a lift out of this ditch?","Generic ant","Atera nazakezu zanga honetatik?"
"Thanks for helping me out!","Generic ant","Milesker laguntzagatik!"
"You're a true friend.","Generic ant","Benetako laguna zara."
"Now I just need to find a way to fix this gearbox...","Generic ant","Orain engranaje-kaxa hori konpontzeko modua bilatu behar dut..."
"You here to help with the elevator?","Generic ant","Igogailuarekin laguntzera zatoz?"
"It's been broken down since the attack, but I can't reach the part we need to fix it.","Generic ant","Erasoalditik ez du funtzionatzen, eta ezin dut konpondu ahal izateko beharrezko pieza eskuratu."
"If you can get me the brass cog from the other side of this chamber","Generic ant","Ganbararen beste aldean dagoen letoizko engranajea ekartzen badidazu..."
"we should be able to get it running.","Generic ant","...berriro martxan jarri ahalko dugu."
"Without that elevator, we're stuck up here.","Generic ant","Igogailurik gabe, hemen goian harrapaturik gaude."
"Fix the elevator with a brass cog","Generic ant","Konpondu igogailua letoizko engranajearekin"
"There's no way down from here without that elevator.","Generic ant","Ez dago behera jaisteko modurik igogailurik gabe."
"Thanks Comrade. I'll deliver the cog back to the main shaft.","Generic ant","Eskerrik asko, burkide. Engranajea berriro ardatz nagusira eramango dut."
"Just pop it into the gearbox and we should be good.","Generic ant","Hartu eta koka ezazu engranaje-kaxan, eta funtzionatu beharko luke."
"Thanks again for fixing the elevator!","Generic ant","Milesker berriro igogailua konpontzeagatik!"
"Oh, you fixed the drawbridge already?","Generic ant","O, dagoeneko zubi altxagarria konpondu duzu?"
"Oh, thank goodness you're here!","Generic ant","Oi, eskerrak laguntzera etorri zarela!"
"The fire ants hit this place pretty hard.","Generic ant","Suzko inurriek inguru hau guztiz suntsitu dute."
"Luckily this drawbridge kept them out of the living quarters.","Generic ant","Zorionez, zubi altxagarri honi esker ezin izan dira bizitegira iritsi."
"But they damaged the control mechanism, and now I'm stuck on the wrong side.","Generic ant","Baina kontrol-mekanismoa hondatu dute, eta orain okerreko aldean harrapaturik nago."
"Could you help me repair it?","Generic ant","Konpontzen lagunduko didazu?"
"Could you help me repair the drawbridge?","Generic ant","Zubi altxagarria konpontzen lagunduko didazu?"
"Outstanding work!","Generic ant","Lan paregabea!"
"Now that the rest of the colony can get through, we can start fixing this place up.","Generic ant","Orain, koloniako beste kideak hemendik igaro daitezkenez, leku hau konpontzen has gaitezke."
"G'day Comrade!","Generic ant","Egun on, burkide!"
"Everyone here is getting really thirsty from all the hard work they've been doing.","Generic ant","Mundu guztia egarriz dago, egindako lan gogorraren ondorioz."
"Do you think you could turn the water back on so we can have a drink?","Generic ant","Saia zaitezke ur-emaria berrezartzen, tragoxka bat hartu ahal dezagun?"
"Have you been down to the water pump yet?","Generic ant","Jaitsi zara ur-ponpara dagoeneko?"
"Many thanks Comrade! The ants around these chambers are now comfortably hydrated!","Generic ant","Milesker, burkide! Ganbera hauetako inurriak orain behar bezain hidrataturik daude!"
"Oh, um, hello Comrade...","Nurse ant","O, zera, kaixo burkide..."
"I'm sorry if I seem distracted, its just...","Nurse ant","Barkatu distraitua banago, baina..."
"It appears that a few larvae have gone missing in the chaos.","Nurse ant","Anabasa honetan larba gutxi batzuk galdu direla dirudi."
"The fire ants have spread us thin and we don't have the antpower to search for them.","Nurse ant","Suzko inurriek gure kolonia urritu dute, eta ez daukagu larben bila joateko nahikoa kide."
"Would you keep an eye out for any that might be hidden about the nest?","Nurse ant","Baduzu inguruan begiratzerik, ea habian zehar gordetakoak aurkitzen dituzun?"
"Return the ant larvae to the nursury","Journal quest text","Bueltatu inurri-larbak kumetegira"
"Oh you found some already?","Nurse ant","O, dagoeneko aurkitu duzu larbarik?"
"That's excellent!","Nurse ant","Bikain!"
"Hello again Comrade.","Nurse ant","Kaixo berriro, burkide."
"Have you found any of the missing larvae?","Nurse ant","Aurkitu duzu galdutako larbarik?"
"Oh... well...","Nurse ant","O... beno..."
"Oh thank you, Comrade!","Nurse ant","O, milesker, burkide!"
"Unfortunately, there are still more out there.","Nurse ant","Zoritxarrez larba gehiago daude galduta."
"Please keep looking. They could be anywhere.","Nurse ant","Mesedez, jarraitu bila. Edonon egon litezke."
"Those fire ants are pretty sneaky with their hidden chambers.","Nurse ant","Suzko inurri horiek ezkutuko ganberatan zehar ibiltzen dira."
"Thats... That's all the larvae!","Nurse ant","Hau... hau da azken larba!"
"Spectacular!","Nurse ant","Sinestezina!"
"We are so greatful for your help!","Nurse ant","Biziki eskertzen dizugu emandako laguntza!"
"These larvae will grow safely in the nest, despite the best attempts of the fire ants.","Nurse ant","Larba hauek habiaren babespean haziko dira, suzko inurrien asmo txarretatik salbu."
"These larvae will soon grow into big, strong ants!","Nurse ant","Larba hauek laster hazi eta inurri handi eta indartsu bihurtuko dira!"
"The colony owes you a great debt.","Nurse ant","Kolonia zorretan dago zurekin."
"Greetings Comrade! Did Comrade Mark recruit you from the surface?","Carl the ant","Kaixo, burkide! Mark burkideak errekrutatu zaitu lurrazalean?"
"Fantastic!","Carl the ant","Bikain!"
"No? Well, it's good to have you anyway!","Carl the ant","Ez? Berdin dio, ongi etorria zara!"
"There's tonnes of work to do to finish the Mech-Ant!","Carl the ant","Sekulako lan eskerga dago egiteko Inurri Mekanikoa bukatzeko!"
"Let's see...","Carl the ant","Ikus dezagun..."
"The mandibles need a final heat treatment up in the forge room...","Carl the ant","Barailek azken tratamendu bat behar dute forja-gelan..."
"Attach mandibles to Mech-Ant","Journal quest text","Erantsi barailak Inurri Mekanikoari"
"Put the mandibles through the forge","Journal quest text","Pasa barailak forjatik"
"But to turn that back on we need to patch up the pipeworks.","Carl the ant","Baina berriro martxan jartzeko, aurrena hoditeria konpondu behar dugu."
"Reconnect the propellant pipes","Journal quest text","Birkonektatu propultsatzaile hodiak"
"We'll need that to supply the Mech-Ant too...","Carl the ant","Hori ere beharko dugu Inurri Mekanikoa hornitzeko..."
"Reconnect the water pipes","Journal quest text","Birkonektatu ur hodiak"
"Oh, and it still needs 3 more legs to be attached!","Carl the ant","O, eta beste 3 hankak lotu beharko zaizkio!"
"I think we're waiting on deliveries for 2 of them from engineering.","Carl the ant","Uste dut ingeniaritzakoek 2 hanka ekarri zain gaudela."
"Connect Mech-Ant legs","Journal quest text","Erantsi hankak Inurri Mekanikoari"
"Well what are you waiting for, Comrade?","Carl the ant","Beno, zeren zain zaude, burkide?"
"Get to it!","Carl the ant","Ekin lanari!"
"I've given you a whole list of tasks already!","Carl the ant","Dagoeneko egitekoen zerrenda potolo bat eman dizut!"
"What are you standing around for?","Carl the ant","Zer zabiltza hemen oraindik?"
"HEY!","Carl the ant","EI!"
"Looking good, Comrade!","Carl the ant","Itxura ona dauka, burkide!"
"Get over here and let's have a talk!","Carl the ant","Zatoz hona, hitz egin dezagun!"
"Hold up a second, Comrade.","Carl the ant","Itxaron una batez, burkide."
